rank;rank_w;institution;link;institution_2;score;authors;author_shares;from_url
62;[62];Department of Quantitative Social Science, Institute of EducationLondon, United Kingdom;http://edirc.repec.org/data/dqioeuk.html;Department of Quantitative Social Science, Institute of Education;90.71;15;11.69;http://ideas.repec.org/top/top.uk.html;
63;[65];HM Treasury, Government of the United KingdomLondon, United Kingdom;http://edirc.repec.org/data/tregvuk.html;HM Treasury, Government of the United Kingdom;92.73;4;3.84;http://ideas.repec.org/top/top.uk.html;
64;[63];Department of Food Economics and Marketing, School of Agriculture, Policy and Development, University of ReadingReading, United Kingdom;http://edirc.repec.org/data/dardguk.html;Department of Food Economics and Marketing, School of Agriculture, Policy and Development, University of Reading;93.33;13;12.84;http://ideas.repec.org/top/top.uk.html;
---;[---];Spatial Economics Research Centre (SERC), London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/selseuk.html;Spatial Economics Research Centre (SERC), London School of Economics (LSE);93.85;19;4.24;http://ideas.repec.org/top/top.uk.html;
65;[66];Leeds University Business School (LUBS), University of LeedsLeeds, United Kingdom;http://edirc.repec.org/data/sbleeuk.html;Leeds University Business School (LUBS), University of Leeds;94.04;15;13.97;http://ideas.repec.org/top/top.uk.html;
66;[64];Department of Economics, University of AberdeenAberdeen, United Kingdom;http://edirc.repec.org/data/deabduk.html;Department of Economics, University of Aberdeen;94.11;15;11.92;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Economics, Business School, University of ExeterExeter, United Kingdom;http://edirc.repec.org/data/dexexuk.html;Department of Economics, Business School, University of Exeter;94.18;22;20.18;http://ideas.repec.org/top/top.uk.html;
67;[67];Business School, Middlesex UniversityHendon, United Kingdom;http://edirc.repec.org/data/bsmdxuk.html;Business School, Middlesex University;94.33;30;27.53;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Economic History, London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/chlseuk.html;Department of Economic History, London School of Economics (LSE);95.63;17;15.35;http://ideas.repec.org/top/top.uk.html;
68;[68];Centre for Macroeconomics (CFM)London, United Kingdom;http://edirc.repec.org/data/cmlseuk.html;Centre for Macroeconomics (CFM);98.05;26;4.99;http://ideas.repec.org/top/top.uk.html;
---;[---];Economics and Finance Division, Business School, University of NottinghamNottingham, United Kingdom;http://edirc.repec.org/data/ienotuk.html;Economics and Finance Division, Business School, University of Nottingham;101.08;12;7.91;http://ideas.repec.org/top/top.uk.html;
69;[69];Department of Economics Studies, University of DundeeDundee, United Kingdom;http://edirc.repec.org/data/dedunuk.html;Department of Economics Studies, University of Dundee;102.24;15;13.1;http://ideas.repec.org/top/top.uk.html;
70;[70];School of Management and Business, King's CollegeLondon, United Kingdom;http://edirc.repec.org/data/dmkcluk.html;School of Management and Business, King's College;102.25;8;6.3;http://ideas.repec.org/top/top.uk.html;
71;[71];Aston Business School, Aston UniversityBirmingham, United Kingdom;http://edirc.repec.org/data/bsastuk.html;Aston Business School, Aston University;103.65;20;18.11;http://ideas.repec.org/top/top.uk.html;
72;[72];Centre for Microdata Methods and Practice (CEMMAP)United Kingdom;http://edirc.repec.org/data/cmifsuk.html;Centre for Microdata Methods and Practice (CEMMAP);105.38;11;2.08;http://ideas.repec.org/top/top.uk.html;
73;[74];Environmental Economics Research Group, Department of Geography and Sustainable Development, University of St. AndrewsFife, United Kingdom;http://edirc.repec.org/data/eestauk.html;Environmental Economics Research Group, Department of Geography and Sustainable Development, University of St. Andrews;105.53;5;4.57;http://ideas.repec.org/top/top.uk.html;
74;[75];Surrey Business School, University of SurreyGuildford, United Kingdom;http://edirc.repec.org/data/sesuruk.html;Surrey Business School, University of Surrey;106.31;7;6.98;http://ideas.repec.org/top/top.uk.html;
75;[76];School of Management, Swansea UniversitySwansea, United Kingdom;http://edirc.repec.org/data/bmswauk.html;School of Management, Swansea University;106.84;14;11.89;http://ideas.repec.org/top/top.uk.html;
76;[73];Portsmouth Business School, University of PortsmouthPortsmouth, United Kingdom;http://edirc.repec.org/data/bsprtuk.html;Portsmouth Business School, University of Portsmouth;107.28;20;16.64;http://ideas.repec.org/top/top.uk.html;
77;[79];Department of Economics, Kingston UniversityKingston-upon-Thames, United Kingdom;http://edirc.repec.org/data/sekinuk.html;Department of Economics, Kingston University;107.82;18;17.5;http://ideas.repec.org/top/top.uk.html;
---;[---];Monetary Policy Committee (MPC), Bank of EnglandLondon, United Kingdom;http://edirc.repec.org/data/mpcgvuk.html;Monetary Policy Committee (MPC), Bank of England;108.69;2;1.5;http://ideas.repec.org/top/top.uk.html;
78;[80];Institute for New Economic Thinking (INET), Oxford Martin School, Oxford UniversityOxford, United Kingdom;http://edirc.repec.org/data/inoxfuk.html;Institute for New Economic Thinking (INET), Oxford Martin School, Oxford University;109.16;14;10.4;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Economics, Business School, Middlesex UniversityHendon, United Kingdom;http://edirc.repec.org/data/semdxuk.html;Department of Economics, Business School, Middlesex University;109.63;23;21.2;http://ideas.repec.org/top/top.uk.html;
79;[77];Department of Statistics, University of WarwickCoventry, United Kingdom;http://edirc.repec.org/data/dswaruk.html;Department of Statistics, University of Warwick;110.32;4;4;http://ideas.repec.org/top/top.uk.html;
80;[78];Department of Economics, University of ReadingReading, United Kingdom;http://edirc.repec.org/data/derdguk.html;Department of Economics, University of Reading;111.98;13;11.23;http://ideas.repec.org/top/top.uk.html;
81;[81];Centre for Dynamic Macroeconomic Analysis, University of St. AndrewsFife, United Kingdom;http://edirc.repec.org/data/cdstauk.html;Centre for Dynamic Macroeconomic Analysis, University of St. Andrews;112.03;12;6.42;http://ideas.repec.org/top/top.uk.html;
---;[---];Manchester Institute of Innovation Research (MIoIR), Alliance Manchester Business School, University of ManchesterManchester, United Kingdom;http://edirc.repec.org/data/prmanuk.html;Manchester Institute of Innovation Research (MIoIR), Alliance Manchester Business School, University of Manchester;113.66;14;10.23;http://ideas.repec.org/top/top.uk.html;
82;[83];Keele Management School, University of KeeleStaffordshire, United Kingdom;http://edirc.repec.org/data/sekeeuk.html;Keele Management School, University of Keele;116.68;12;11.2;http://ideas.repec.org/top/top.uk.html;
83;[82];Economic and Social History, Oxford UniversityOxford, United Kingdom;http://edirc.repec.org/data/eshoxuk.html;Economic and Social History, Oxford University;117.12;9;6.99;http://ideas.repec.org/top/top.uk.html;
84;[84];School of Management, University of BathBath, United Kingdom;http://edirc.repec.org/data/smbatuk.html;School of Management, University of Bath;118.84;13;12.48;http://ideas.repec.org/top/top.uk.html;
---;[---];Economic Modelling and Forecasting Group, Warwick Business School, University of WarwickCoventry, United Kingdom;http://edirc.repec.org/data/emwaruk.html;Economic Modelling and Forecasting Group, Warwick Business School, University of Warwick;118.86;4;3.9;http://ideas.repec.org/top/top.uk.html;
85;[86];Business School, University of AberdeenAberdeen, United Kingdom;http://edirc.repec.org/data/bsabduk.html;Business School, University of Aberdeen;119.19;5;3.32;http://ideas.repec.org/top/top.uk.html;
86;[87];Management School, University of SheffieldSheffield, United Kingdom;http://edirc.repec.org/data/mssheuk.html;Management School, University of Sheffield;119.65;10;9.16;http://ideas.repec.org/top/top.uk.html;
87;[88];Kent Business School, University of KentCanterbury, United Kingdom;http://edirc.repec.org/data/bsukcuk.html;Kent Business School, University of Kent;119.83;12;11.14;http://ideas.repec.org/top/top.uk.html;
---;[---];Grantham Research Institute on Climate Change and the Environment, London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/grlseuk.html;Grantham Research Institute on Climate Change and the Environment, London School of Economics (LSE);119.98;14;9.01;http://ideas.repec.org/top/top.uk.html;
88;[85];Birmingham Business School, University of BirminghamBirmingham, United Kingdom;http://edirc.repec.org/data/bbbhauk.html;Birmingham Business School, University of Birmingham;120.96;11;9.4;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of International Development, London School of Economics (LSE)London, United Kingdom;http://edirc.repec.org/data/dslseuk.html;Department of International Development, London School of Economics (LSE);122.9;12;8.8;http://ideas.repec.org/top/top.uk.html;
---;[---];Centre for Finance, Credit and Macroeconomics (CFCM), School of Economics, University of NottinghamNottingham, United Kingdom;http://edirc.repec.org/data/cfnotuk.html;Centre for Finance, Credit and Macroeconomics (CFCM), School of Economics, University of Nottingham;123.14;11;3.11;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Accounting and Finance, Management School, Lancaster UniversityLancaster, United Kingdom;http://edirc.repec.org/data/dflanuk.html;Department of Accounting and Finance, Management School, Lancaster University;123.54;10;7.8;http://ideas.repec.org/top/top.uk.html;
---;[---];Centre for Economic Research, Keele Management School, University of KeeleStaffordshire, United Kingdom;http://edirc.repec.org/data/dekeeuk.html;Centre for Economic Research, Keele Management School, University of Keele;124.06;10;9.3;http://ideas.repec.org/top/top.uk.html;
---;[---];Macroeconomics Growth and Development Research Group, School of Economics, University of ManchesterManchester, United Kingdom;http://edirc.repec.org/data/cgmanuk.html;Macroeconomics Growth and Development Research Group, School of Economics, University of Manchester;124.15;9;5.29;http://ideas.repec.org/top/top.uk.html;
89;[89];Institute for Development Policy and Management (IDPM), School of Environment and Development, University of ManchesterManchester, United Kingdom;http://edirc.repec.org/data/idmanuk.html;Institute for Development Policy and Management (IDPM), School of Environment and Development, University of Manchester;124.17;10;7.44;http://ideas.repec.org/top/top.uk.html;
90;[91];Business School, University of HertfordshireHatfield, United Kingdom;http://edirc.repec.org/data/bsheruk.html;Business School, University of Hertfordshire;124.5;5;4.5;http://ideas.repec.org/top/top.uk.html;
91;[90];Business School, University of HullHull, United Kingdom;http://edirc.repec.org/data/dehuluk.html;Business School, University of Hull;125.48;15;14.12;http://ideas.repec.org/top/top.uk.html;
---;[---];Economics and Finance Group, Portsmouth Business School, University of PortsmouthPortsmouth, United Kingdom;http://edirc.repec.org/data/depbsuk.html;Economics and Finance Group, Portsmouth Business School, University of Portsmouth;125.7;12;10.55;http://ideas.repec.org/top/top.uk.html;
---;[---];Economics Group, Business School, University of HertfordshireHatfield, United Kingdom;http://edirc.repec.org/data/echeruk.html;Economics Group, Business School, University of Hertfordshire;126.81;4;3.5;http://ideas.repec.org/top/top.uk.html;
---;[---];Department of Business and Management, School of Business, Management and Economics, University of SussexBrighton, United Kingdom;http://edirc.repec.org/data/dbsusuk.html;Department of Business and Management, School of Business, Management and Economics, University of Sussex;129.1;6;5.39;http://ideas.repec.org/top/top.uk.html;
---;[---];Economics Department, School of Management, Swansea UniversitySwansea, United Kingdom;http://edirc.repec.org/data/edswauk.html;Economics Department, School of Management, Swansea University;130.46;6;4.59;http://ideas.repec.org/top/top.uk.html;
92;[93];Department of Financial and Management Studies (DeFiMS), School of Oriental and African Studies (SOAS)London, United Kingdom;http://edirc.repec.org/data/dfsoauk.html;Department of Financial and Management Studies (DeFiMS), School of Oriental and African Studies (SOAS);131.01;11;9.61;http://ideas.repec.org/top/top.uk.html;
93;[92];Centre for Learning and Life Chances in Knowledge Economies and Societies (LLAKES), Institute of EducationLondon, United Kingdom;http://edirc.repec.org/data/llioeuk.html;Centre for Learning and Life Chances in Knowledge Economies and Societies (LLAKES), Institute of Education;131.16;2;2;http://ideas.repec.org/top/top.uk.html;
